brawler_name,player_tag,player_name,name_color,player_icon,player_trophies,rank,club
8-BIT,#92CRYR8JR,Adͥℝiͣaͫn🌎⚡,0xffffffff,28000043,1304,1,abc|eSports
8-BIT,#29VGU29RQ,K’schannel,0xffcb5aff,28000014,1273,2,ユーロ
8-BIT,#2P2VY2U99,Chen,0xffffffff,28000095,1260,3,IG : Chen_bss
8-BIT,#28YCQ9809,Alєíхrа☤,0xff1ba5f5,28000129,1252,4,<c5> D1 </c>
8-BIT,#VLQPVPY,Hyra,0xffcb5aff,28000003,1251,5,85K
8-BIT,#LJV002QP,カクメイカ,0xffa8e132,28000077,1250,6,the NOMADくれいじー
8-BIT,#P0YRLLPV,いるみなたんふぁんくらぶ,0xff4ddba2,28000176,1227,7,クラロワ坊や
8-BIT,#20UR8JPVJ,ÊSP｜✨ヒロ✨,0xff1ba5f5,28000112,1218,8,Grøwth Bräwlërs
8-BIT,#22QGYLYYR,➪Jorgep64❤️,0xfff9775d,28000075,1203,9,Walther Smooth
8-BIT,#CPPV2PQG,Meliodasあ,0xffa8e132,28000006,1200,10,The Dynasty⚡
8-BIT,#JGCCGY80,prostislavv,0xffff9727,28000042,1200,11,Brawl Kings
8-BIT,#2PGGR8Y9P,Eve✘ 🍀,0xffff8afb,28000218,1200,12,<c00ff5f>D1</c>
8-BIT,#8LQ882GRC,Jefry Daniel,0xffcb5aff,28000228,1194,13,•Nobility•
8-BIT,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1188,14,<c5> D1 </c>
8-BIT,#2QQRGCVRU,⛩️|Wiza64🐴🎋,0xff1ba5f5,28000014,1140,15,Mônt D’Or
8-BIT,#8UQ9VGY,Pretzel,0xffffce89,28000178,1138,16,STMN Esports
8-BIT,#8R08UP2G8,🐐Goated♑️,0xffa2e3fe,28000115,1123,17,<c9>Goats</c>
8-BIT,#P0GL2L92G,イム・ヒョジェ❕,0xff4ddba2,28000025,1120,18,브롤일탈연구소
8-BIT,#QVC0U8R8,ყ𝗮𝗻𝗻𝗶𝗰𝗸🍷,0xffffffff,28000156,1109,19,abc|Union
8-BIT,#82JVL0U29,𝗣єяιsєт🍁,0xffff9727,28000165,1108,20,Brawl is AFK
8-BIT,#PPG8C2P2,Zimon,0xff4ddba2,28000140,1104,21,Free Win
8-BIT,#8JG00YC02,PitchD|Bube,0xffcb5aff,28000066,1104,22,Pitchdome
8-BIT,#2GQ9R0QVC,AOKI,0xffffffff,28000006,1104,23,Study time bye
8-BIT,#99J9898J,teiikeeスイク🤍,0xff4ddba2,28000140,1103,24,PAYAKIMI
8-BIT,#2QU0QU2VQ,Igor,0xff1ba5f5,28000167,1103,25,BC*|Family*
8-BIT,#QRUQQLV0,CG |Nukleo,0xffff8afb,28000081,1103,26,LA Instinct
8-BIT,#29P0CYU0C,しぃ‪𓈒𓏸,0xffcb5aff,28000022,1102,27,Hut Island@約束の地
8-BIT,#20CQLYP2C,TBEjason,0xffcb5aff,28000222,1102,28,BC*|Family*
8-BIT,#9L9RGQLPU,𝐆𝐆𝐡幸,0xffcb5aff,28000047,1102,29,LaWs Controll
