,tag,name,description,type,requiredTrophies,trophies,member_1_tag,member_1_name,member_1_role,member_1_trophies,member_2_tag,member_2_name,member_2_role,member_2_trophies,member_3_tag,member_3_name,member_3_role,member_3_trophies,member_4_tag,member_4_name,member_4_role,member_4_trophies,member_5_tag,member_5_name,member_5_role,member_5_trophies,member_6_tag,member_6_name,member_6_role,member_6_trophies,member_7_tag,member_7_name,member_7_role,member_7_trophies,member_8_tag,member_8_name,member_8_role,member_8_trophies,member_9_tag,member_9_name,member_9_role,member_9_trophies,member_10_tag,member_10_name,member_10_role,member_10_trophies,member_11_tag,member_11_name,member_11_role,member_11_trophies,member_12_tag,member_12_name,member_12_role,member_12_trophies,member_13_tag,member_13_name,member_13_role,member_13_trophies,member_14_tag,member_14_name,member_14_role,member_14_trophies,member_15_tag,member_15_name,member_15_role,member_15_trophies,member_16_tag,member_16_name,member_16_role,member_16_trophies,member_17_tag,member_17_name,member_17_role,member_17_trophies,member_18_tag,member_18_name,member_18_role,member_18_trophies,member_19_tag,member_19_name,member_19_role,member_19_trophies,member_20_tag,member_20_name,member_20_role,member_20_trophies,member_21_tag,member_21_name,member_21_role,member_21_trophies,member_22_tag,member_22_name,member_22_role,member_22_trophies,member_23_tag,member_23_name,member_23_role,member_23_trophies,member_24_tag,member_24_name,member_24_role,member_24_trophies,member_25_tag,member_25_name,member_25_role,member_25_trophies,member_26_tag,member_26_name,member_26_role,member_26_trophies,member_27_tag,member_27_name,member_27_role,member_27_trophies,member_28_tag,member_28_name,member_28_role,member_28_trophies,member_29_tag,member_29_name,member_29_role,member_29_trophies,member_30_tag,member_30_name,member_30_role,member_30_trophies
0,#2GUU9908V,BC*|Family*,📍Official OG EU 3v3 Club of BerlinCityClub* 《DC: YZ8ENSn》▪︎ProfilVoteSystem▪︎WR = 14Months Top1 🌐▪︎www.berlincityclub.de,closed,35000,1916032,#CJP08CU0,Uriel,member,70761,#2QU0QU2VQ,Igor,member,70309,#P99QGPLU2,Davex,member,68888,#CG0YQP2C,BÃVÌØ..🖤!,member,67864,#20CQLYP2C,TBEjason,member,66849,#29JJCQULC,BC* |Crusher🍉,member,66634,#8URCLRY8,球隊|RoUND🌠,member,66401,#Y989PY8Q,Angełito❤️‍🔥,member,66315,#GJ9PLGPL,ReSn|Snake🐍,member,66299,#LLQ8GY8,тноny 大,member,66146,#82GPP9LQ,BC*| Tobi🍉,vicePresident,65578,#R8YUP2PG,Gtr😈,member,65163,#PYGR8CPJ2,TR | Mıstık,member,64998,#Y22RU8YQ2,Seis.,member,64275,#JV2L02VV,sijaNS,member,63945,#8PPLV0JYQ,BC* | 𝙽ɪc͢σ ❃,member,63223,#29YQC0YCG,Zeno⋆울보,member,62990,#V9L9Y89R,호세,member,62667,#89LQQ9YGR,BC*|Stefa🍉,member,62603,#YYRV2V2,Zen Bobi,member,62278,#PY0PQ90QU,Pingou.🦅d'or,member,61969,#28YUL8GYC,Shady,member,61769,#82Q00UGY,Auracio🐐,member,61587,#PRVRG99QC,alekzz愛,member,61366,#LR08G9C8,BC*| Kubaba♡,member,61363,#U2JU9082,iksu💞,member,60732,#9V0CPPL99,Broken,member,60631,#2RUGP9CUU,paula marry me,member,60392,#22G9J9CUQ,TK |Timaty,member,60128,#8JJQJYYL0,BC*| ♡SΚγLiηe,president,51909
1,#2C2Q2UUY2,<c0> D1 </c>,"<cff0000> YT</c>: Day 1 Gaming|$2,000 Tournaments|Europe Vibes ♕ <c000000> discord.gg/d1gaming</c>|59K+",inviteOnly,35000,1807645,#8QJU2CCY,Merlina 🖤,member,66522,#82UCLY9C8,Kronos🇧🇷,member,66161,#8CJJCUY,Awa De Piña ツ,member,66120,#28L99LPL2,❁|暗黒の夜❦,member,64868,#CGRLP2C9,вомвєя 🜲,member,64095,#2VQUYQCGU,⚡Str1ker⚡,member,62511,#9900PYPC9,🧙🏻‍♂️|Denaa↯,member,62402,#PG892988V,愛Andi🖤,member,61696,#P98U09LVU,乙|Arin47 ❦︎,member,61325,#LL0092JU,SnipHer,member,60802,#9009ULRQJ,OG|Dragon >.<,member,60784,#9LLGG8C90,LA|Enuś,member,60619,#UG9RRVQQ,SamiCevheR YTB,member,60570,#9YCQPGVUQ,|LP|DuRimAn,member,60502,#QCJYRLUQ,Alekzz♥️Liana,member,60343,#2GLQJRRQV,ᶠᵃᵏᵉJan 2,member,60292,#2JPCV2LY0,Chillけ,member,60268,#99UU9Q08,☞ᴙᴇᴉᴹᴼᴿᴼكلب☭,member,60181,#9VQJJLQVP,☄LG|₭ajsmenk乇 ☄,member,59987,#P0QUJLJ90,Neuzz,member,59974,#2PVG8U8RR,to de volta nub,member,59493,#2Y0J90882,ᴇᴛʜᴀɴ|♡,member,59333,#2U29JYG9,を|̴͋͝𝒳𝑒𝓃𝑜↯,member,59097,#RUR9P9Y2,aftxr SIUUUUUUU,member,58545,#2Y2LYPJ9G,BuS|Darkus🤕,member,58166,#GGRQQCPP,MariusDeus,member,57562,#J8LRY082,♨️Anonimowy♨️,member,57388,#9JVU8VGU0,🖤|Eryczeq🕊️,vicePresident,54859,#20PPPPYJ2,HornuVia❤️‍🔥,member,53744,#2JUUY9JQY,Matijaz.,president,49436
2,#2RGU08QPY,Guard eSports,<cff0000>Guard</c> eSports 🏖|3v3 Op Players | BOSS HERE :p| ⤵️:Guard II,closed,35000,1803095,#9P2CUYJ8P,Scared,member,69852,#QGG2UUV0,Kurumi,member,67784,#8JVV0P808,Yusuf😈,member,66725,#2P0V8CGGU,SK|Gameruł.,member,64890,#80YGP0YQ,Mezarcı|Ali🃏,member,63312,#2QPJQ8QRQ,bagi,member,62321,#9YUGPC0Q8,Mertcan😡,member,61348,#89C8QP9Q8,惡𝑇𝑖𝑚𝑜🦈,member,60994,#8JVQC0QJV,GRD|Egemen❤️‍🔥,member,60836,#G2Q2UY8G,🔥ƒℓοοοοο🔥,member,60659,#Q0VP0JP8,玄Ghost🎴,member,60328,#9P8VR2GV9,TLH|Alexz🦇,member,60034,#2UYJR9VL,Corwas,member,59612,#UVLRUU8U,🃏|DĩGnĘ (ツ)🐒,member,59465,#90LPVYVUP,Yusuf♛,member,59190,#20QCPYGU2,_TøP4ęG_,member,59140,#PJJURPQP0,Zeton🐍❤️🐁,member,59027,#VYY9VLVC,Eddie,member,58962,#JYL0Q9P0,TBE|BreakItOnce,member,58791,#RUR2JPL0,Санёк,member,58783,#2VCYV9PLV,👑ToͥxiͣcͫTom👑,member,58361,#CVRULGPP,Cringe,member,58189,#RLVU8JY,Veni,member,58154,#28U0982CY,OP|RAYhacK,member,58134,#88UCJPLLR,PerseusSs❦,member,57968,#98LJ8CL90,SK|SHINE💖,member,57827,#YVRLRU9RQ,PaYa|Wegi,member,57650,#VVG9UC0P,NutEprst•A,member,57296,#CPVCJJCU,Brawl Stars,member,57246,#LJJYCC8R,GRD | Clâxeś 〆,president,50217
3,#2JQGGRU80,<c5> D1 </c>,"<c5>YT</c> : Day 1 Gaming|€2,000 Tournaments|Europe Vibes ♛|<c5>discord.gg/d1gaming</c>|60k+ 💙",inviteOnly,35000,1799704,#8LQ9JR82,Code: Eqwaak,vicePresident,79477,#9VP2R0P9,Zan🕊,member,72004,#G2JQC0U,Toinoumc 🃏,member,67858,#VGPLRCVQ,Buzkoa,member,67806,#CGQCYJGY,TTV | SnakeThug,senior,64996,#Y989VP,『Tiziano™』,senior,63920,#P0RC2LPUV,АСЕ| Bang⚔️,member,63900,#90220GRPU,JustBoy,member,63861,#JRYLGVYV,QLS|Glory™️,member,63677,#2P0QU92P2,Xonax♡,member,62656,#28YCQ9809,Alєíхrа☤,member,62344,#VRLUYQYQ,TTV | Jonkorül,senior,61987,#22G029908,megaWins❤️‍🔥,member,61824,#LG8PCJG8,PitchD|Tex,member,61800,#29UC8UV98,🔥Mma Ukr🔥,member,61562,#2JYGUYUG,AAMIR LORD,member,61562,#22CUL9YY,蛇 Snaider™,member,61548,#V992JJP2,NiCh,member,61405,#QCYQ8C2C,TTV|joshkky,member,61217,#22GQU2LLP,Fɪʀᴇ💔,vicePresident,61190,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,member,60999,#2C0CJ2QPC,漢|WollOgi❦,member,60887,#902YJYJJJ,blove🦆,member,60765,#20J09PGYU,Øffsxy💘,member,59610,#RJRQCCQ0,Save Chicken 🐣,member,58917,#2V98U2VC9,Rosi I love u💟,member,58650,#P8QLRP82Q,❄Zimma❄,member,58140,#9G0LQ09P,Tejstar123,vicePresident,53756,#22GQGJ9QL,Day 1 Gaming,president,41386,,,,
4,#2GPP9VLLV,Hopped Sqd♿,bigg luvv u knoww?🥺💞|TG:Dragunskiyy|Only 3v3⚔️|Academ:Soprano Sqd♿|Master🏆,inviteOnly,35000,1740894,#CPL9PLC8,Yolo 🎈,senior,66521,#9Q89VYCJ,1F|NeVer❤️,senior,62749,#9PGVRPPP,TTM|Nicky,vicePresident,62170,#P9UVCQ2U2,КОРОЛЬ ДРИФТА,senior,60599,#22RQLQL8R,[SLATT] ишак,member,60502,#RR0L8UYC,皇帝Spike🐼,member,60223,#9GVGY29QC,GG|Human™🌩,member,60194,#P8JYVY0VC,PaYa|Rubix⚡,member,59722,#LCQPJ92VC,farevo123,member,59673,#2Y2RQPVC,KoroK🐣💛,senior,59059,#8LQUQJG0P,błessed🕊️,vicePresident,58982,#2999YY2R9,Hárlēquìn,senior,58819,#8R2RY8CP0,Markposs,vicePresident,58367,#8Y89PV9RQ,🐧♑|ČapƤenguiη♡,vicePresident,58152,#8CV2J29VV,GodEnternal🩸,vicePresident,57716,#28YR2JVUV,⌁Frosty😡❦,member,57382,#9L2CQL980,Kenoraa〆,vicePresident,57155,#292L8P8,✨T4WERKA✨|GG,vicePresident,57017,#228JJ9PQU,TT|ᴀᴋʏʟᴀᴼᴾ,member,56964,#C0VRCL29,ł1nzer💕🐣,member,56856,#RJCL0V2L,✨drozdhaha✨|GG,vicePresident,56840,#P8JVPP9V8,1F|imPulse❤️,senior,56548,#P99VJ9PJ9,KaRaNdAsH_WTF,member,56436,#2YPG8J2QU,ghost🪐,member,56279,#PYC9L09GY,STL|stroublle💓,senior,56183,#8YPUVCPPC,*[ROB]*,member,55515,#YC09JPRR0,Боец,member,55274,#8P8G0CUQC,tiredgagii:)🈴,member,54313,#JG29L88U,Enoughh ニャー,vicePresident,53452,#UGQ0CY8R,Dragunov🎈,president,51232
5,#2JP2GY8R9,Mônt D’Or,Welcome to Mônt D'Or 🌄 | Rush•Chill 👑 CashPrize : +300€💸 | LDC : Obligatoire ⚠️ Dc : rrkWtufx | 1 🇫🇷 ~ 3 🌍 | Master x2,inviteOnly,35000,1739135,#8PCUPCL0L,IX | Gogold ☕,senior,63149,#2CGP8RYJG,爱|ɴᴏᴀᴍ🧊,member,62415,#PLUR0YGGQ,𝗠𝚁•𝐃𝙴𝚅,senior,61519,#2JURUYL9L,Sokzz🪐,president,61162,#2UU929P89,爱|ᴀ𝚕𝚎𝚡🍁,member,60330,#C2CULQP0,❤️‍🔥Mazoex♛,member,59915,#9GQGJJ0V,Valtleman ✨,member,59410,#88YC2888P,SKEZz🌪,senior,59402,#JU2J099C,линка эм топ💋,member,59189,#90PYYQYGP,ßΣ | 丹ƬÖ︎₥Ꭵ乂🌺,member,59054,#C9Q0C0VQ,龙|ƊaͥrҟSwͣaͫg🍹,member,59034,#2GCRQLPJR,joker jùnior,member,58982,#99L090J9P,Tisma🤍,senior,58485,#2GLJGUGR8,爱|ʙɪꜱᴇʙ🦋,member,58392,#GJL8P8VG,🃏|Xanfᵘ,member,58129,#9QP08PYUL,wise❤‍🔥,member,57983,#9UJ98UYYC,LepiksaltHook,member,57752,#UQR88GUG,lerenardfuté,member,57697,#2P20RCVC,Sayonara充,member,57454,#980C8CGP2,‼️Gaara‼️,member,57049,#2QQRGCVRU,⛩️|Wiza64🐴🎋,member,57018,#29C9GP9GR,メᴊᴜᴊᴜɢᴀᴍɪɴɢ🪐,member,56778,#VVL2G0PY,R47_AKMA,member,56453,#9J0J2QP8Y,IX | chat team☕,member,56169,#8UCC2Y8J,Thoma_Str,member,56161,#V888YPGU,Minepro❤Grom,member,56081,#9GQVLCC9P,Proᴳᵒᵈ🥀,senior,55883,#JGVCQ8QL,Isleϻo🪐,vicePresident,55742,#92V0GG9,IX|Matcha ☕️,senior,55292,#PV2YJ8QGR,⛩️phenix🦅,member,47056
6,#2JQ9802VJ,<c00ff5f>D1</c>,"<c00ff5f>Day 1 Gaming</c>|NA Vibes ♛|$2,000 Season Rewards & Tourneys|Active & Pushing|<c00ff5f>discord.gg/d1gaming</c>|",inviteOnly,35000,1789067,#2PGGR8Y9P,Eve✘ 🍀,member,72965,#2YCR9RLCJ,Tris🍃,member,67306,#2GJVUCL,Most,member,64454,#80J80JC92,AT | Mr Ice ❄,member,64062,#899L9CUP,Leandro ♛,member,64061,#UP29Q9C9,.Chūky.,member,61651,#GVCV9P9Y,Smoov Chocolate,senior,60938,#RU2GGGY2,Tatertot,member,60229,#9LCVLGUCJ,SØ|Angel❤️‍🔥,member,60186,#82R2C9RCC,Navi|Rubis❤️‍🔥,member,60158,#9YPQV2P2,ᶠᵃᵏᵉPiper💫,member,60138,#VUQV0ULV,𝓚𝔂𝔀𝔂,member,59973,#P2QP2QP88,YT/K̾o̾b̾i̾e̾*❣,member,59756,#GLL0J2YG,TA|TrashTeslaを,member,59599,#22J9JYYL0,TBM | Mani,member,59393,#9U0P9CYJJ,Venom>.<,member,59236,#VL8UQQC,●TXC | AsTrAL●,member,58540,#J9V89VU0,Dαvi🎲,member,58362,#8JPCQ9J8Y,Whiter🇧🇹,member,58327,#9PJPJPY9,DelanoXD,member,57764,#80Y29CJ90,Kids Today 😳,member,57605,#2LUJRJQ90,☔smurfツ ᴷⁱˡˡᵧₒᵤ,member,57355,#2VY0PRQ9C,SKR | 🌸꧁๓ⱥx꧂✨,member,57007,#8RYJJU8V8,RG Pantoufle,member,56963,#9YJ2RQUQP,Matador,member,56827,#9CVRGYRGJ,Flite|YT,member,56624,#L2JL8YCCY,Zest💫NOAH,member,56052,#82QRJ92L2,1GrecSansTomate,member,55436,#YPYCV82,Mayhem💫,president,54135,#U9828Y98,Mini cyller,member,53965
7,#2Y88RGV09,Beyond Champs,1.7mil 🥳 Dm Terzz#2464 with questions or concerns. All America Region players. Introducing our exclusive feature: Brawl League,inviteOnly,35000,1725404,#9P98UCUV,Eydan,member,67084,#GVQUYG90,🥀YT|Shattered,member,63092,#8Y082R2GG,愛~RapZ✧,member,62878,#R89RRGY,Timez🤍变小,member,60820,#20P2GP99,Ducky🐝,senior,60664,#C2GPV0V,愛~PotaZium✯,member,60467,#PGP8920LP,TheFinalBoss_YT,member,60422,#URG2PY00,愛~Zay❃,senior,59925,#2QC2JUGRP,YT|Vamprix,member,59334,#RJ00R9,Vin857,member,58704,#JLL9UPGC,Slaystyle,member,58437,#289RLYVGP,🎭|Altered,member,58379,#2UQPRU0JP,OSL|diegoRwR🎨,member,58035,#8JUUQRVUP,Walker,member,57913,#PV989VQ,AE|HI >.<,member,57202,#QQRYR8JJ,Lana,member,57081,#9RGLJLRGP,☈✞✗💜,member,57039,#P9UPCG0JY,Xavi🧩,member,56962,#GVPRL2C8,TSW|Yeruza☦︎︎,member,56672,#9JUVC20P0,Herrmannator,member,56622,#29URUV9,Jimmy buckets,member,56528,#89RLY09Q9,Negativities,member,55613,#2LYYQQY2J,Baldr 👾,senior,55481,#290QRQLPY,愛~HeroZ✵,member,55439,#9QC9PJURJ,愛~AyoVerteX✾,member,55212,#88QGGY8UY,❄️Snowberry❄️,member,54885,#890J9RRP2,Adan🦆,member,54867,#8LUGL9UY9,Alkaあ👾,senior,54643,#VJGP2LGQ,TypicalSebasツ,member,54263,#20GQ8L22,B¥D|Terzz🎭,president,40741
8,#2LQVYR2LJ,BC*|Gaming EU,📍Official EU Club of BerlinCityClub*|《DC:YZ8ENSn》▪︎ProfilVoteSystem ▪︎Insta: bc_berlincityclub | CC: PlayerD • Twitch: PlayerD,closed,35000,1716402,#29L028GQL,Djahsta,vicePresident,68693,#90JCCGPGL,Georgeッ,member,62212,#LQUV8RCQ,PlayerD🐧,vicePresident,61922,#220YV8R08,𝒮𝒾𝓁𝓋𝑒𝓇 ♤,member,61401,#2URVUUV22,Quintenッ,member,60680,#2PGR8J222,dxm1nus❤️‍🩹,member,60480,#PPUPGRC98,BC*|God🐣,member,60166,#2RC2YGJ98,Radaņ🐉,vicePresident,59660,#2V2YJ02RC,Panos,member,59593,#2YUUQU8QU,шишил мышил,member,58912,#29YQVGUQQ,₩ Maks 《MMA》₩,member,58839,#8J0JLGG02,Jaycenッ,member,58742,#990U89200,Max,member,58605,#2QCVYG2JQ,Kbs🌱,member,58081,#2VG02RU0,⚡ThorN3X™⚡,member,57622,#P802YCG8,vicbiz💎,senior,57607,#2J0P9VJL0,『Eʟɪᴛᴇ☔』,member,56839,#2YR2GVYV8,Alp♛,member,55635,#GGCRP29Y,♣️♪☯§ʊ€🖤,member,55607,#QPU2PPR,ALHOOT🥺🖤🐳,member,55607,#C2U882G9,Danny🦋,member,55312,#2R8PV29UG,VladoProfi,member,55149,#P99Y8JV8P,SKR|ֆӄʏʟɨɢɦȶᵍᵒᵈ,member,55134,#Y00UJCQUQ,BANTI🧸,member,53405,#8UQ090CCJ,Glady⋆울보,member,53297,#UJVL9UQC,LM | Tchoukito,member,53234,#Q0PVJ08,EM͛X|DaNiCiMo ♻,member,53195,#8G2URV929,Millenium,member,51579,#GJRP0VQU,Lucas琶嗟,member,49702,#2UCYYR2C,BC*|NoFlex,president,49492
9,#2892CGY99,A Few Good Boys,OP Boys🥶|Tournaments/Season Rewards 500€/Chill Chat|Active Players|Esports Players|Join? dm:SharkShot#3600/CsY2XQMjGb|Legends🍥,inviteOnly,35000,1715317,#2LP9RCGV,Massiel Sprou🍒,member,62472,#VGYRCUGJ,Ste💜Joh🧸Ale🤡,member,61691,#28JPVGVRY,igorek2015,member,60796,#8GVG28JCP,Best Dodger,member,59475,#YJ8RQCY0,Duo|Skillchik💘,member,59147,#2QGV0QV8G,반딧❦(火),member,58916,#RR889U0V,CalmChess,member,58895,#JJJQJ8C8,Ciro😡,member,58800,#PRCCP2V9C,ℳ𝒾𝓃𝓃𝓉ℴ🍃모두,member,58548,#28UL0RPY9,AntiSeptik🪐,senior,58196,#VVGVC88,‼️Ahmed‼️,member,58003,#2LLRPYRU,N T|ᴴᴬᴿᴱ'|🌊,member,57893,#9RL0RPGV,eco 戦士,member,57879,#P0PR8QQCP,ʜᴇʟꜰɪᴋ,member,57482,#2PCVVY2V9,『CryingLeo』,member,57341,#8V9LVL2C9,TGF|𝐵𝑎𝑟𝑟🍷,member,56841,#8RQCQ2V0U,Arex💕,member,56647,#2LVPGCQRV,Kill|🎭Pro🔪,member,56610,#P2JLGY2U,TT|AlexBondR,member,56547,#2CUU0QV0V,氷〃ʜɪᴛꜱᴜɢᴀʏᴀ 🌺,member,56523,#82292GJ92,둻 | lerran ☆,member,56278,#892L2G09L,Maríoo🍉,member,56277,#2GGUCL0RY,Main Colt🥶,member,56149,#JYUYVUQR,erased❤️‍🔥,member,56147,#8JUJLRYJU,『あ|Ginryū🥀』,member,55477,#L2P2Y0CU,CallMeBabar☃️,member,54963,#R2RGG8C2,Velichko シ︎☔,member,54286,#RURVQ0G,🪐シᴇʟɪᴏɴシ🦉,member,54021,#9RGJJL9RG,Userゝ,member,53860,#2VCJR2J8J,㉺ßØẲⱫ ƬƝƬ✘,president,49157
