,tag,name,badgeId,trophies,rank,memberCount
0,#2GUU9908V,BC*|Family*,8000023,1916077,1,30
1,#2JQGGRU80,<c5> D1 </c>,8000055,1859307,2,30
2,#2C2Q2UUY2,<c0> D1 </c>,8000021,1807643,3,30
3,#2RGU08QPY,Guard eSports,8000023,1803213,4,30
4,#2JQ9802VJ,<c00ff5f>D1</c>,8000027,1789054,5,30
5,#2GPP9VLLV,Hopped Sqd♿,8000057,1740865,6,30
6,#2JP2GY8R9,Mônt D’Or,8000029,1739103,7,30
7,#2Y88RGV09,Beyond Champs,8000025,1725410,8,30
8,#2LQVYR2LJ,BC*|Gaming EU,8000023,1716575,9,30
9,#2892CGY99,A Few Good Boys,8000055,1715288,10,30
10,#2L2820Y8U,Showdown💔Kings,8000023,1708810,11,30
11,#20V0LQVGY,Recovery,8000023,1705731,12,30
12,#2JQCC8RCR,🖤Moonlight🖤,8000025,1705441,13,30
13,#2JGYGQJG0,<c7>D1 </c>,8000029,1705312,14,30
14,#2YYJJV9PC,7 Dwarves,8000029,1696559,15,30
15,#2GYQLVJPV,★the Players★,8000049,1693678,16,30
16,#JLQQRYVP,erwan roblox yt,8000017,1690611,17,30
17,#2JRGRGYCJ,Elite🔱,8000023,1683466,18,29
18,#P2JYRP9Q,The Egg Beaters,8000037,1674854,19,30
19,#2GV0LLJG0,UNP ISRAEL™,8000049,1672597,20,30
20,#208UU822P,A Few Good Men,8000022,1667605,21,30
21,#2JGJC2QR8,<c6> D1 </c>,8000025,1666449,22,29
22,#2LVLRGJRJ,DarkEvil™,8000037,1663395,23,30
23,#U9RPG98P,Remaining Neo,8000053,1661460,24,30
24,#2GUL00CLY,LaWs Controll,8000058,1658365,25,30
25,#2LGCP0CUV,Ｓａｎｅ'ｓ Ｂａｎｄ⚡,8000059,1650003,26,30
26,#2RUP0V9LC,Xero,8000003,1648974,27,30
27,#2L0V9Y9JJ,BC*|Gaming GER,8000023,1647193,28,29
28,#2JQG2UUQP,Brawl is AFK,8000017,1647081,29,29
29,#2RGG8288J,Miracle,8000018,1640931,30,30
30,#2RQVU92V2,The Dynasty⚡,8000011,1639297,31,30
31,#2PGLRCRQG,おいも,8000022,1628628,32,30
