,tag,name,trophies,highestTrophies,highestPowerPlayPoints,expLevel,expPoints,isQualifiedFromChampionshipChallenge,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime,bestTimeAsBigBrawler,club_tag,club_name,shelly_power,shelly_rank,shelly_trophies,shelly_highestTrophies,colt_power,colt_rank,colt_trophies,colt_highestTrophies,bull_power,bull_rank,bull_trophies,bull_highestTrophies,brock_power,brock_rank,brock_trophies,brock_highestTrophies,rico_power,rico_rank,rico_trophies,rico_highestTrophies,spike_power,spike_rank,spike_trophies,spike_highestTrophies,barley_power,barley_rank,barley_trophies,barley_highestTrophies,jessie_power,jessie_rank,jessie_trophies,jessie_highestTrophies,nita_power,nita_rank,nita_trophies,nita_highestTrophies,dynamike_power,dynamike_rank,dynamike_trophies,dynamike_highestTrophies,el primo_power,el primo_rank,el primo_trophies,el primo_highestTrophies,mortis_power,mortis_rank,mortis_trophies,mortis_highestTrophies,crow_power,crow_rank,crow_trophies,crow_highestTrophies,poco_power,poco_rank,poco_trophies,poco_highestTrophies,bo_power,bo_rank,bo_trophies,bo_highestTrophies,piper_power,piper_rank,piper_trophies,piper_highestTrophies,pam_power,pam_rank,pam_trophies,pam_highestTrophies,tara_power,tara_rank,tara_trophies,tara_highestTrophies,darryl_power,darryl_rank,darryl_trophies,darryl_highestTrophies,penny_power,penny_rank,penny_trophies,penny_highestTrophies,frank_power,frank_rank,frank_trophies,frank_highestTrophies,gene_power,gene_rank,gene_trophies,gene_highestTrophies,tick_power,tick_rank,tick_trophies,tick_highestTrophies,leon_power,leon_rank,leon_trophies,leon_highestTrophies,rosa_power,rosa_rank,rosa_trophies,rosa_highestTrophies,carl_power,carl_rank,carl_trophies,carl_highestTrophies,bibi_power,bibi_rank,bibi_trophies,bibi_highestTrophies,8-bit_power,8-bit_rank,8-bit_trophies,8-bit_highestTrophies,sandy_power,sandy_rank,sandy_trophies,sandy_highestTrophies,bea_power,bea_rank,bea_trophies,bea_highestTrophies,emz_power,emz_rank,emz_trophies,emz_highestTrophies,mr. p_power,mr. p_rank,mr. p_trophies,mr. p_highestTrophies,max_power,max_rank,max_trophies,max_highestTrophies,jacky_power,jacky_rank,jacky_trophies,jacky_highestTrophies,gale_power,gale_rank,gale_trophies,gale_highestTrophies,nani_power,nani_rank,nani_trophies,nani_highestTrophies,sprout_power,sprout_rank,sprout_trophies,sprout_highestTrophies,surge_power,surge_rank,surge_trophies,surge_highestTrophies,colette_power,colette_rank,colette_trophies,colette_highestTrophies,amber_power,amber_rank,amber_trophies,amber_highestTrophies,lou_power,lou_rank,lou_trophies,lou_highestTrophies,byron_power,byron_rank,byron_trophies,byron_highestTrophies,edgar_power,edgar_rank,edgar_trophies,edgar_highestTrophies,ruffs_power,ruffs_rank,ruffs_trophies,ruffs_highestTrophies,stu_power,stu_rank,stu_trophies,stu_highestTrophies,belle_power,belle_rank,belle_trophies,belle_highestTrophies,squeak_power,squeak_rank,squeak_trophies,squeak_highestTrophies,grom_power,grom_rank,grom_trophies,grom_highestTrophies,buzz_power,buzz_rank,buzz_trophies,buzz_highestTrophies,griff_power,griff_rank,griff_trophies,griff_highestTrophies,ash_power,ash_rank,ash_trophies,ash_highestTrophies,meg_power,meg_rank,meg_trophies,meg_highestTrophies,lola_power,lola_rank,lola_trophies,lola_highestTrophies,fang_power,fang_rank,fang_trophies,fang_highestTrophies,eve_power,eve_rank,eve_trophies,eve_highestTrophies,janet_power,janet_rank,janet_trophies,janet_highestTrophies,bonnie_power,bonnie_rank,bonnie_trophies,bonnie_highestTrophies,otis_power,otis_rank,otis_trophies,otis_highestTrophies,sam_power,sam_rank,sam_trophies,sam_highestTrophies,gus_power,gus_rank,gus_trophies,gus_highestTrophies,buster_power,buster_rank,buster_trophies,buster_highestTrophies,chester_power,chester_rank,chester_trophies,chester_highestTrophies,gray_power,gray_rank,gray_trophies,gray_highestTrophies,mandy_power,mandy_rank,mandy_trophies,mandy_highestTrophies,r-t_power,r-t_rank,r-t_trophies,r-t_highestTrophies
0,#VLQPVPY,Hyra,81342,81342,1374,418,884169,False,89450,5737,1828,5,0,#2JJ2CCY9C,85K,11,35,1251,1300,11,35,1251,1302,11,35,1251,1301,11,35,1250,1302,11,35,1251,1401,11,35,1251,1401,11,35,1252,1302,11,35,1251,1302,11,35,1251,1401,11,35,1251,1302,11,35,1251,1302,11,35,1251,1300,11,35,1251,1402,11,35,1251,1302,11,35,1250,1302,11,35,1251,1302,11,35,1251,1302,11,35,1251,1306,11,35,1251,1393,11,35,1251,1300,11,35,1251,1300,11,35,1251,1302,11,35,1251,1302,11,35,1252,1401,11,35,1250,1301,11,35,1251,1400,11,35,1251,1401,11,35,1251,1302,11,35,1250,1320,11,35,1251,1401,11,35,1251,1401,11,35,1251,1302,11,35,1256,1401,11,35,1250,1400,11,35,1250,1402,11,35,1251,1302,11,35,1250,1302,11,35,1250,1401,11,35,1251,1301,11,35,1252,1300,11,35,1251,1302,11,35,1252,1301,11,35,1251,1300,11,35,1258,1301,11,35,1270,1422,11,35,1252,1302,11,35,1250,1302,11,35,1251,1302,11,35,1250,1400,11,35,1251,1402,11,35,1251,1302,11,35,1250,1302,11,35,1251,1302,11,35,1251,1301,11,35,1250,1307,11,35,1251,1401,11,35,1251,1302,11,35,1252,1401,11,35,1251,1302,11,35,1251,1302,11,35,1251,1259,11,35,1251,1251,11,35,1252,1252,11.0,35.0,1251.0,1251.0,11.0,35.0,1252.0,1252.0
1,#8LQ9JR82,Code: Eqwaak,79477,79507,1340,435,959365,True,102478,321,1012,5,0,#2JQGGRU80,<c5> D1 </c>,11,35,1206,1302,11,35,1205,1506,11,35,1200,1300,11,35,1251,1300,11,35,1251,1328,11,35,1252,1301,11,35,1251,1301,11,35,1250,1352,11,35,1251,1301,11,35,1251,1302,11,35,1251,1302,11,35,1200,1302,11,35,1200,1302,11,35,1200,1371,11,35,1200,1350,11,35,1251,1300,11,35,1202,1300,11,35,1200,1301,11,35,1206,1339,11,35,1209,1300,11,35,1202,1350,11,35,1200,1351,11,35,1219,1300,11,35,1251,1307,11,35,1201,1301,11,35,1250,1350,11,35,1251,1352,11,35,1188,1350,11,35,1251,1302,11,35,1252,1350,11,35,1198,1323,11,35,1252,1300,11,35,1252,1350,11,35,1251,1300,11,35,1201,1315,11,35,1251,1300,11,35,1200,1301,11,35,1251,1351,11,35,1202,1302,11,35,1203,1352,11,35,1251,1300,11,35,1203,1300,11,35,1201,1302,11,35,1200,1338,11,35,1195,1350,11,35,1251,1301,11,35,1251,1302,11,35,1200,1302,11,35,1251,1317,11,35,1200,1350,11,35,1251,1350,11,35,1206,1302,11,35,1201,1302,11,35,1203,1302,11,35,1206,1300,11,35,1200,1301,11,35,1251,1352,11,35,1251,1350,11,35,1188,1302,11,35,1200,1301,11,35,1200,1260,11,35,1202,1251,11,35,1251,1266,11.0,35.0,1200.0,1251.0,11.0,35.0,1251.0,1251.0
2,#JGCCGY80,prostislavv,79290,80295,1169,316,509040,False,55930,1605,1044,5,0,#208209Q9G,Brawl Kings,11,35,1200,1251,11,35,1302,1302,11,35,1218,1253,11,35,1200,1299,11,35,1209,1266,11,35,1200,1302,11,35,1200,1265,11,35,1200,1300,11,35,1200,1302,11,35,1203,1302,11,35,1201,1251,11,35,1200,1252,11,35,1203,1301,11,35,1201,1320,11,35,1209,1251,11,35,1255,1300,11,35,1300,1302,11,35,1204,1279,11,35,1301,1304,11,35,1252,1300,11,35,1202,1251,11,35,1210,1269,11,35,1202,1251,11,35,1218,1268,11,35,1202,1302,11,35,1257,2001,11,35,1222,1272,11,35,1200,1302,11,35,1203,1251,11,35,1203,1303,11,35,1202,1311,11,35,1201,1303,11,35,1198,1268,11,35,1302,1302,11,35,1202,1302,11,35,1200,1269,11,35,1302,1302,11,35,1217,1305,11,35,1202,1255,11,35,1128,1302,11,35,1202,1302,11,35,1203,1254,11,35,1203,1252,11,35,1237,1285,11,35,1201,1272,11,35,1401,1401,11,35,1283,1283,11,35,1202,1302,11,35,1302,1302,11,35,1202,1302,11,35,1203,1257,11,35,1203,1251,11,35,1201,1271,11,35,1300,1300,11,35,1203,1281,11,35,1201,1298,11,35,1203,1280,11,35,1201,1301,11,35,1203,1257,11,35,1201,1255,11,35,1200,1300,11,35,1284,1301,11,35,1203,1254,11.0,33.0,1112.0,1188.0,11.0,34.0,1205.0,1205.0
3,#QRUQQLV0,CG |Nukleo,73602,73614,692,347,611064,True,49498,1668,1102,5,0,#2RUQ9R0VG,LA Instinct,11,35,1102,1251,11,34,1200,1200,11,32,1108,1108,11,35,1200,1250,11,35,1200,1251,11,35,1203,1252,11,33,1102,1172,11,34,1101,1245,11,34,1201,1203,11,32,1108,1128,11,32,1102,1127,11,32,1101,1106,11,35,1200,1254,11,32,1106,1106,11,35,1102,1251,11,34,1106,1201,11,34,1200,1202,11,35,1120,1251,11,32,1104,1114,11,35,1252,1252,11,32,1102,1104,11,35,1102,1252,11,34,1103,1203,11,35,1102,1250,11,32,1104,1104,11,35,1200,1250,11,32,1103,1104,11,32,1103,1144,11,35,1104,1254,11,35,1206,1251,11,35,1103,1252,11,32,1101,1104,11,35,1203,1252,11,32,1104,1104,11,35,1104,1256,11,32,1101,1103,11,32,1102,1103,11,35,1102,1251,11,35,1201,1251,11,35,1101,1251,11,32,1102,1117,11,35,1104,1252,10,32,1104,1104,11,34,1101,1218,11,35,1200,1250,11,35,1102,1252,11,35,1138,1250,11,35,1200,1251,11,32,1103,1112,11,35,1102,1251,11,34,1101,1203,11,32,1103,1106,11,34,1120,1200,11,35,1116,1263,11,35,1203,1251,11,35,1200,1258,11,35,1202,1251,11,35,1100,1252,11,35,1104,1252,11,35,1103,1250,10,35,1101,1266,11,35,1103,1262,11,35,1100,1252,11.0,35.0,1100.0,1269.0,11.0,35.0,1221.0,1251.0
4,#2PGGR8Y9P,Eve✘ 🍀,72953,72965,1163,347,612634,True,41554,1470,5150,5,0,#2JQ9802VJ,<c00ff5f>D1</c>,11,35,1104,1251,11,35,1110,1250,11,35,1097,1251,11,35,1202,1252,11,35,1102,1251,11,35,1103,1251,11,35,1100,1251,11,35,1103,1251,11,35,1100,1250,11,35,1100,1250,11,35,1144,1250,11,35,1103,1252,11,35,1103,1252,11,35,1104,1251,11,35,1101,1252,11,35,1200,1254,11,35,1101,1251,11,35,1104,1251,11,35,1145,1251,11,35,1101,1251,11,35,1101,1251,11,35,1200,1250,11,35,1100,1250,11,35,1101,1250,11,35,1166,1251,11,35,1111,1251,11,35,1151,1250,11,35,1200,1250,11,35,1100,1251,11,35,1114,1251,11,35,1126,1254,11,35,1100,1250,11,35,1111,1251,11,35,1103,1251,11,35,1104,1265,11,35,1101,1250,11,35,1102,1252,11,35,1123,1251,11,35,1103,1251,11,35,1106,1251,11,35,1104,1251,11,35,1095,1252,11,35,1104,1252,11,35,1104,1251,11,35,1100,1252,11,35,1100,1251,11,35,1101,1252,11,35,1200,1252,11,35,1101,1250,11,35,1103,1255,11,35,1152,1251,11,35,1103,1251,11,35,1104,1250,11,35,1201,1251,11,35,1164,1255,11,35,1100,1251,11,35,1107,1251,11,35,1100,1250,11,35,1202,1264,11,35,1100,1268,11,35,1202,1253,11,35,1103,1251,11,35,1101,1266,11.0,35.0,1101.0,1257.0,11.0,35.0,1251.0,1251.0
5,#9VP2R0P9,Zan🕊,72010,72010,291,269,369947,True,20109,1095,8789,5,0,#2JQGGRU80,<c5> D1 </c>,11,32,1101,1101,11,35,1104,1262,11,32,1104,1104,11,35,1253,1253,11,35,1103,1250,11,35,1104,1250,11,30,1003,1005,11,32,1102,1103,11,32,1102,1102,11,32,1101,1102,11,32,1102,1102,11,33,1103,1189,11,35,1101,1252,11,32,1102,1102,11,35,1102,1251,11,35,1104,1253,11,32,1103,1103,11,32,1103,1103,11,32,1104,1104,11,35,1251,1251,11,32,1025,1100,11,35,1102,1252,11,32,1101,1101,11,32,1103,1112,11,35,1251,1251,11,32,1103,1103,11,35,1101,1250,11,32,1101,1101,11,32,1103,1103,11,35,1104,1251,11,32,1103,1104,11,32,1101,1102,11,35,1104,1252,11,35,1001,1254,11,32,1000,1104,11,32,1103,1103,11,32,1104,1104,11,32,1102,1104,11,32,1102,1102,11,32,1104,1104,11,32,1102,1116,11,32,1104,1104,11,30,960,1005,11,32,1102,1112,11,32,1102,1105,11,35,1101,1250,11,32,1104,1104,11,32,1102,1102,11,32,1104,1104,11,35,1104,1251,11,35,1255,1255,11,32,1103,1103,11,34,1217,1217,11,35,1104,1251,11,35,1101,1251,11,35,1104,1251,11,32,1101,1101,11,32,1102,1102,11,32,1104,1104,11,32,1103,1103,11,35,1104,1250,11,32,1101,1101,11,35,1250,1250,11.0,32.0,1101.0,1101.0,11.0,32.0,1105.0,1105.0
6,#CJP08CU0,Uriel,70767,70767,764,349,619143,True,41714,2486,4396,6,0,#2GUU9908V,BC*|Family*,11,32,1102,1102,11,33,1156,1165,11,30,945,1037,11,35,1128,1253,11,33,1138,1158,11,35,1266,1266,11,30,916,1035,11,32,1021,1101,11,35,1203,1273,11,32,1102,1102,11,30,1032,1032,11,30,1019,1019,11,35,1238,1250,11,32,1102,1117,11,32,1112,1112,11,34,1209,1223,11,35,1046,1251,11,35,1102,1291,11,35,1202,1251,11,35,1172,1251,11,35,1000,1253,11,34,1002,1206,11,32,974,1103,11,35,1112,1251,11,32,1102,1140,11,34,1196,1208,11,34,1102,1200,11,33,937,1164,11,35,1102,1254,11,35,1278,1356,11,35,1102,1277,11,30,1023,1045,11,35,1102,1252,11,33,1157,1157,11,35,940,1253,11,33,1101,1150,11,31,984,1050,11,35,1212,1257,11,35,1010,1250,11,30,1000,1035,11,35,1103,1251,11,35,1010,1250,11,30,992,1014,11,35,1101,1251,11,35,1206,1251,11,34,1034,1215,11,33,1104,1197,11,35,1048,1255,11,34,1202,1206,11,35,1201,1250,11,35,1200,1250,11,30,1000,1004,11,32,1104,1104,11,34,1200,1200,11,35,1007,1252,11,32,1104,1104,11,31,1054,1054,11,35,1200,1261,11,32,1103,1103,11,31,1004,1064,11,35,1005,1251,11,35,1061,1250,11,30,1004,1008,11.0,31.0,1070.0,1081.0,11.0,30.0,1003.0,1003.0
7,#2QU0QU2VQ,Igor,70319,73416,855,372,704749,True,46375,1871,6752,6,0,#2GUU9908V,BC*|Family*,11,30,1002,1004,11,35,1107,1260,11,35,1102,1251,11,32,1101,1140,11,35,1252,1252,11,35,1104,1251,11,35,1103,1251,11,35,1102,1252,11,35,1114,1251,11,35,1164,1251,11,35,1106,1250,11,31,1002,1080,11,35,1102,1251,11,35,1100,1250,11,35,1103,1251,11,35,1102,1251,11,35,1100,1251,11,35,1104,1252,11,35,1174,1253,11,35,1100,1250,11,35,1111,1252,11,34,950,1203,11,33,1136,1152,11,32,1036,1103,11,32,1100,1100,11,35,1101,1252,11,35,1202,1281,11,35,1103,1252,11,32,1104,1104,11,35,1102,1250,11,35,1101,1251,11,30,952,1004,11,35,1102,1250,11,32,1103,1103,11,35,1100,1250,11,32,1103,1114,11,32,1104,1104,11,35,1151,1251,11,35,1120,1251,11,35,1104,1250,11,35,1100,1251,11,30,1000,1014,11,35,1200,1251,11,35,1103,1251,11,35,1108,1251,11,35,1104,1253,11,30,1004,1048,11,35,1100,1252,11,35,1104,1250,11,35,1059,1250,11,35,1100,1251,11,35,1102,1254,11,32,1002,1116,11,30,1005,1037,11,35,1034,1251,11,32,1101,1101,11,35,1104,1252,11,35,1076,1251,11,35,1102,1251,11,33,1101,1168,11,35,1000,1251,11,35,1000,1252,11,35,1005,1264,11.0,32.0,1010.0,1113.0,11.0,23.0,666.0,666.0
8,#R9Q2JL0,_Dvavnvr🩸,70000,70000,510,402,818502,True,54826,3877,4444,6,0,#2GGVJGRLV,Türk Milleti,11,35,1104,1251,11,35,1103,1250,11,32,1103,1103,11,35,1011,1255,11,32,1101,1101,11,35,1102,1250,11,31,1061,1078,10,30,1009,1015,11,32,1104,1104,11,35,1254,1254,11,33,1101,1180,11,35,1253,1253,11,35,1100,1252,11,32,1108,1108,11,32,1103,1103,11,32,1104,1104,11,30,1004,1004,11,34,1100,1202,11,32,1112,1112,11,32,1102,1102,11,35,1000,1251,11,35,1004,1252,10,33,1004,1182,11,32,1000,1122,11,30,1000,1004,10,32,1101,1101,11,35,1086,1252,11,30,1003,1006,11,32,1000,1103,11,32,1110,1110,11,35,1101,1251,11,35,1000,1251,11,32,1103,1103,11,30,1000,1004,11,32,1104,1104,11,30,1002,1013,11,30,1001,1006,11,35,1254,1254,10,32,1101,1101,11,32,1074,1100,11,32,1101,1101,11,31,1000,1055,10,30,1004,1004,10,32,1104,1104,11,35,1251,1251,11,35,1103,1253,11,30,1004,1004,10,30,1003,1004,11,34,1182,1206,11,30,1011,1011,11,32,1103,1103,11,32,1101,1120,11,32,1102,1102,11,32,1104,1104,11,32,1104,1104,10,31,1098,1099,10,32,1104,1104,11,31,1056,1089,11,32,1115,1115,11,30,1000,1005,10,30,1004,1004,10,30,1003,1003,10,30,1002,1002,10.0,30.0,1003.0,1003.0,11.0,35.0,1251.0,1251.0
9,#9P2CUYJ8P,Scared,69863,71157,1101,325,536772,True,37079,1888,2616,5,0,#2RGU08QPY,Guard eSports,11,32,1016,1100,11,35,1130,1272,10,32,1047,1102,11,32,1100,1102,11,32,1107,1107,11,35,1251,1251,11,30,1009,1022,10,31,1004,1067,11,32,1056,1101,11,32,1104,1104,10,32,1104,1104,11,32,1100,1108,11,34,1103,1200,11,35,1100,1257,10,32,1013,1101,11,32,1062,1124,11,32,1056,1100,11,32,1103,1103,11,32,1016,1103,11,35,1100,1272,11,32,1005,1100,11,30,1020,1037,11,30,1000,1047,11,35,1100,1257,10,32,1000,1103,11,35,1103,1252,11,32,1101,1104,10,32,1000,1102,11,32,1000,1100,11,35,1207,1270,11,32,1101,1111,11,30,1002,1013,11,35,1146,1251,10,32,1005,1100,10,30,1004,1021,10,32,1005,1101,11,30,1007,1015,11,35,1176,1251,11,32,1100,1102,11,30,1009,1020,11,35,1251,1251,11,32,1100,1100,11,30,1002,1003,10,32,1052,1104,11,35,1251,1251,11,32,1104,1104,10,35,1000,1254,11,35,1104,1257,11,34,1104,1219,10,32,1003,1100,11,35,1176,1251,11,32,1103,1103,11,32,1103,1104,11,32,1000,1111,10,30,1004,1022,11,32,1103,1112,11,32,1100,1103,11,35,1124,1412,11,32,1104,1105,11,32,1127,1135,10,33,1002,1156,11,30,1002,1031,11,32,1003,1105,11.0,30.0,1003.0,1014.0,11.0,35.0,1266.0,1266.0
