,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Hyra,0xffcb5aff,28000003,81342,1,85K
1,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,79477,2,<c5> D1 </c>
2,#JGCCGY80,prostislavv,0xffff9727,28000042,79287,3,Brawl Kings
3,#QRUQQLV0,CG |Nukleo,0xffff8afb,28000081,73602,4,LA Instinct
4,#2PGGR8Y9P,Eve✘ 🍀,0xffff8afb,28000218,72953,5,<c00ff5f>D1</c>
5,#9VP2R0P9,Zan🕊,0xff1ba5f5,28000159,72010,6,<c5> D1 </c>
6,#CJP08CU0,Uriel,0xffffffff,28000000,70764,7,BC*|Family*
7,#2QU0QU2VQ,Igor,0xff1ba5f5,28000167,70319,8,BC*|Family*
8,#R9Q2JL0,_Dvavnvr🩸,0xff1ba5f5,28000062,70000,9,Türk Milleti
9,#9P2CUYJ8P,Scared,0xffa8e132,28000167,69863,10,Guard eSports
10,#GG8RL2CP,Kevin❤️‍🔥,0xffff9727,28000205,69286,11,Brawl Kings II
11,#9YP00CQPV,Aspect ↯,0xffffce89,28000080,69132,12,
12,#280RJ92JC,BloocK ツ,0xffff8afb,28000218,69096,13,Brawl Kings II
13,#8GUPLYY,Jene_Azure,0xffffce89,28000108,68960,14,Trophy
14,#P99QGPLU2,Davex,0xffffce89,28000129,68888,15,BC*|Family*
15,#2RG0LV02,Scoo Prime 3%🏂,0xff1ba5f5,28000111,68772,16,Recovery
16,#29L028GQL,Djahsta,0xff1ba5f5,28000164,68693,17,BC*|Gaming EU
17,#YGU20CRG,vital shark,0xffcb5aff,28000029,68634,18,<c1>MERCY</c>
18,#2L892GP,YAPIMARU_YT,0xffffffff,28000186,68575,19,Cipher Pol
19,#CPPV2PQG,Meliodasあ,0xffa8e132,28000006,68496,20,The Dynasty⚡
20,#CJV2PJ0R,SK|Yoshi825,0xffcb5aff,28000000,68263,21,Brawl Kings
21,#QCC0UVC,LP|Code:Emerick,0xffffffff,28000186,68115,22,UNP ISRAEL™
22,#808YCJQ0,RNT | Gaandu,0xffa2e3fe,28000159,68107,23,Mini Me’s
23,#22JGLCURJ,SüleymanSerinYT,0xff4ddba2,28000088,68001,24,Süleyman YTB
24,#8U2GYYCR9,愛Kurokiba,0xfff05637,28000135,67927,25,O.G<c4>ᴳᴬᴺᴳ</c>
25,#89PPCLP,⋆͛★🍯るし🐝★⋆͛,0xfff9c908,28000150,67874,26,High Ping 😵‍💫
26,#CG0YQP2C,BÃVÌØ..🖤!,0xffffce89,28000014,67864,27,BC*|Family*
27,#G2JQC0U,Toinoumc 🃏,0xffcb5aff,28000170,67858,28,<c5> D1 </c>
28,#VGPLRCVQ,Buzkoa,0xfff9c908,28000020,67806,29,<c5> D1 </c>
29,#QGG2UUV0,Kurumi,0xffffffff,28000167,67800,30,Guard eSports
30,#8820PPUC,Guillermo64,0xfff9c908,28000034,67752,31,Tribe Gaming NA
31,#2P088J29C,❄️маττ❄️,0xff1ba5f5,28000059,67449,32,The Crown
32,#V2Q080UU,HNK|Valembeau,0xffcb5aff,28000035,67341,33,UNP ISRAEL™
33,#2YCR9RLCJ,Tris🍃,0xffcb5aff,28000014,67284,34,<c00ff5f>D1</c>
34,#2QCVLV2Q,Psychopant💧,0xffcb5aff,28000125,67117,35,7 Dwarves
35,#8R99PJ890,•Skylasz🐍,0xfff9c908,28000138,67111,36,The Dynasty⚡
36,#9P98UCUV,Eydan,0xffa8e132,28000021,67084,37,Beyond Champs
37,#9JQVVPP8P,!p.Zis❦,0xffcb5aff,28000218,67023,38,Xero
38,#8082QU0JU,Shawn,0xffff8afb,28000047,67002,39,AFGM GENESIS
39,#89JJV992Y,カルデラ,0xffff9727,28000003,66995,40,馬小屋🐎
40,#20CQLYP2C,TBEjason,0xffcb5aff,28000222,66873,41,BC*|Family*
41,#8JVV0P808,Yusuf😈,0xff1ba5f5,28000048,66761,42,Guard eSports
42,#29GL0G9YP,𝕭𝖆𝖗𝖔𝖓✞Kei,0xffcb5aff,28000053,66711,43,Innocence
43,#29JJCQULC,BC* |Crusher🍉,0xffffffff,28000175,66634,44,BC*|Family*
44,#8QJU2CCY,Merlina 🖤,0xffff9727,28000229,66521,45,<c0> D1 </c>
45,#CPL9PLC8,Yolo 🎈,0xffff9727,28000047,66521,46,Hopped Sqd♿
46,#99YL0PV9V,𝐍𝐓|𝐋𝐮𝐢𝐬𝐮,0xffffce89,28000156,66510,47,the NOMADくれいじー
47,#8JG00YC02,PitchD|Bube,0xffcb5aff,28000066,66407,48,Pitchdome
48,#8URCLRY8,球隊|RoUND🌠,0xffcb5aff,28000228,66401,49,BC*|Family*
49,#Y989PY8Q,Angełito❤️‍🔥,0xffcb5aff,28000228,66315,50,BC*|Family*
50,#GJ9PLGPL,ReSn|Snake🐍,0xfff9c908,28000042,66299,51,BC*|Family*
51,#2JY989R0R,けいちぃ〜なり〜,0xffffce89,28000167,66215,52,でんぶしーJAPAN
52,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,66203,53,BrawlConQueso
53,#82UCLY9C8,Kronos🇧🇷,0xff4ddba2,28000015,66161,54,<c0> D1 </c>
54,#UYUUQQ8Q,대왕❦(光),0xff1ba5f5,28000063,66150,55,Miracle
55,#LLQ8GY8,тноny 大,0xfff05637,28000218,66146,56,BC*|Family*
56,#8CJJCUY,Awa De Piña ツ,0xffa2e3fe,28000046,66120,57,<c0> D1 </c>
57,#98L2PPGQ2,𝐒𝐡𝐢𝐤𝐢|시키❦,0xffff9727,28000014,65998,58,terror house
58,#Y8YP0QLCQ,YT | Camelot⁶⁹,0xff1ba5f5,28000229,65990,59,Euphoria
59,#LJG2GY2YG,Blue,0xff1ba5f5,28000106,65881,60,Music Surface
60,#VCJGV08V,Pompy🥀,0xff4ddba2,28000136,65862,61,A Few Good Men
61,#28CVQGURJ,め kxrtofvl ♡,0xff1ba5f5,28000061,65779,62,UNP ISRAEL™
62,#8GV2CP2J8,☔ZORLU☔,0xff1ba5f5,28000045,65771,63,𝐌𝐚𝐠𝐢𝐜
63,#JGUYRYQ,nathan🩸,0xffa8e132,28000041,65711,64,NA Friends
64,#8YL8889QP,yoelnobii,0xff4ddba2,28000015,65678,65,Black Sails❅
65,#28QCGCU28,🦀,0xfff9c908,28000023,65624,66,ワンダーランド
66,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000167,65578,67,BC*|Family*
67,#YQLY9CYVY,nath,0xff1ba5f5,28000156,65542,68,New Dawn
68,#2YGU9VVRV,ST|Jalil❤️‍🔥,0xff4ddba2,28000140,65428,69,six Family
69,#2UV0U0R9,Viau,0xffcb5aff,28000002,65412,70,Beyond Omni
70,#89JUJUVYL,どらほ,0xff1ba5f5,28000151,65302,71,DEEMO
71,#9J2JLUR8G,Aspect 🃏,0xffffce89,28000170,65293,72,7 Dwarves
72,#2P2URUV8G,Foncho,0xfff05637,28000150,65290,73,Dragon Chileno
73,#2CJ9JG008,WLS|⚓️MAESTRO⚓️,0xffff9727,28000044,65265,74,A Few Super Boy
74,#9Q9C9JU0,Lavastoviglie™️,0xff1ba5f5,28000062,65220,75,F/A India
75,#R8YUP2PG,Gtr😈,0xffffffff,28000229,65157,76,BC*|Family*
76,#2QL90JU0,RavenOf8,0xffff8afb,28000112,65112,77,NA Friends
77,#2GRJ0Q9UC,↝𝐴𝑛𝑛𝑒𝑥⍨꙳,0xffcb5aff,28000125,65096,78,✨Maverick✨
78,#2Y2Y99GQR,VizeZ,0xffffffff,28000053,65096,79,Tana di Pingu🐧
79,#2J2U9RUQG,❥︎Isabela🦋,0xffffce89,28000218,65038,80,★the Players★
80,#CGQCYJGY,TTV | SnakeThug,0xffffce89,28000170,64996,81,<c5> D1 </c>
81,#PYGR8CPJ2,TR | Mıstık,0xffffffff,28000164,64992,82,BC*|Family*
82,#22U992UP,John 🏜,0xffa8e132,28000136,64989,83,7 Dwarves
83,#PLQY2GPY,вѕe|Veve,0xff4ddba2,28000114,64925,84,ƝօɓƖҽʂ ƘíƖƖҽɾʂ
84,#8YGVV02J9,ダニー,0xff1ba5f5,28000000,64921,85,Xero
85,#2UYJV98J2,𝐍𝐓|𝐉𝐨𝐫𝐞𝐧,0xffffce89,28000058,64900,86,the NOMADくれいじー
86,#2P0V8CGGU,SK|Gameruł.,0xffff8afb,28000023,64895,87,Guard eSports
87,#28L99LPL2,❁|暗黒の夜❦,0xffcb5aff,28000007,64868,88,<c0> D1 </c>
88,#8UYQRLQQV,MC|Cwow🀄️,0xffa8e132,28000140,64865,89,InTeamRasur
89,#2L0G9RVQ9,YOUYOU-YTB,0xfff9c908,28000150,64859,90,erwan roblox yt
90,#Y2PU0C2LV,Crescent Nagi,0xffa2e3fe,28000085,64836,91,High Ping 😵‍💫
91,#8VJYGP2R8,+＋爽凛❇︎SOURIN＋+,0xff1ba5f5,28000170,64833,92,Magicians
92,#PLLRJC2V,Docinho 🍬,0xff4ddba2,28000031,64828,93,Ghost Team👻☔
93,#20JYLU8JU,でんじゃらすトミーさん邪！♨️,0xfff05637,28000019,64822,94,オーシャンズビュー
94,#YPRJQCPJU,💎legendary💎,0xff1ba5f5,28000057,64799,95,Halloween 🎃👻
95,#QUYCVC2,sans101,0xffff8afb,28000004,64747,96,Humble Grinders
96,#802VG829,LuRkz🩵Sq,0xffcb5aff,28000075,64747,97,Havoc Echo
97,#VY20VCCY,SameX94,0xff4ddba2,28000101,64679,98,UNP ISRAEL™
98,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000014,64643,99,flexibility 🔀
99,#P0YG02Q8,MG|Abhishek,0xffff9727,28000018,64608,100,<c7>BLITZ</c>
100,#UVVULJUQ,AG |Luis Miguel,0xfff05637,28000129,64600,101,A. Intelligence
101,#2JJ9G0UP2,Mzt'll kill u🖤,0xfff9775d,28000077,64597,102,Revenge Gaming
102,#V2YUV08,❦ᴹᴿмαиgσッ🧡,0xffff9727,28000013,64532,103,MagicReturns❦
103,#PPG8C2P2,Zimon,0xff4ddba2,28000140,64524,104,Free Win
104,#2J29C0C0Q,火|Ja͢͢͢y💛,0xfff9775d,28000170,64480,105,RealDutch
105,#2GJVUCL,Most,0xff4ddba2,28000021,64454,106,<c00ff5f>D1</c>
106,#Y22RU8YQ2,Seis.,0xff1ba5f5,28000018,64291,107,BC*|Family*
107,#LUGQ9UPC,INV|Guesti❤️‍🔥,0xffcb5aff,28000214,64277,108,Brawl Kings II
108,#2PGRYULC0,■Jânđrø_Płay■,0xff4ddba2,28000156,64259,109,INFERNAL LEGACY
109,#JVR2J9Q,AK | Hisoka🃏,0xffff8afb,28000004,64240,110,erwan roblox yt
110,#2VPLLJJ0V,YT환상|Hapi🌼,0xff1ba5f5,28000012,64215,111,Hăpi🌼
111,#220LY0QJG,lola,0xff1ba5f5,28000000,64127,112,StarLine
112,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000021,64123,113,7 Dwarves
